1	12
1	17
1	26
1	58
1	59
1	62
1	66
1	72
1	76
1	78
1	87
1	91
1	93
1	103
1	113
1	119
2	16
2	32
2	40
2	50
2	60
2	61
2	65
2	77
2	82
2	84
2	96
2	108
2	115
2	120
2	127
2	128
3	4
3	8
3	10
3	13
3	27
3	29
3	32
3	39
3	50
3	54
3	65
3	75
3	82
3	84
3	119
3	123
4	3
4	8
4	13
4	29
4	32
4	39
4	40
4	48
4	50
4	64
4	65
4	68
4	77
4	89
4	115
4	127
5	6
5	9
5	11
5	16
5	21
5	24
5	31
5	47
5	49
5	55
5	67
5	70
5	81
5	90
5	104
5	128
6	5
6	7
6	22
6	24
6	33
6	47
6	51
6	55
6	57
6	70
6	81
6	100
6	102
6	104
6	112
6	128
7	6
7	18
7	19
7	25
7	34
7	36
7	44
7	45
7	69
7	71
7	73
7	88
7	111
7	121
7	123
7	126
8	3
8	4
8	13
8	35
8	39
8	40
8	46
8	60
8	65
8	68
8	75
8	82
8	86
8	89
8	108
8	120
9	5
9	11
9	16
9	21
9	22
9	23
9	24
9	31
9	35
9	42
9	55
9	70
9	79
9	90
9	105
9	128
10	3
10	19
10	25
10	28
10	34
10	42
10	43
10	44
10	48
10	56
10	59
10	98
10	107
10	111
10	121
10	125
11	5
11	9
11	31
11	33
11	35
11	51
11	52
11	55
11	70
11	74
11	79
11	90
11	102
11	104
11	110
11	128
12	1
12	25
12	26
12	53
12	72
12	76
12	78
12	91
12	92
12	97
12	101
12	103
12	114
12	116
12	119
12	122
13	3
13	4
13	8
13	14
13	27
13	30
13	36
13	38
13	40
13	54
13	77
13	82
13	84
13	89
13	96
13	127
14	13
14	30
14	32
14	38
14	46
14	54
14	60
14	61
14	72
14	77
14	82
14	84
14	91
14	96
14	120
14	123
15	16
15	21
15	22
15	24
15	33
15	51
15	55
15	67
15	79
15	81
15	88
15	100
15	104
15	105
15	110
15	112
16	2
16	5
16	9
16	15
16	22
16	23
16	24
16	31
16	35
16	51
16	57
16	67
16	70
16	79
16	99
16	114
17	1
17	29
17	53
17	64
17	72
17	74
17	78
17	92
17	93
17	95
17	97
17	101
17	109
17	113
17	118
17	124
18	7
18	26
18	34
18	36
18	37
18	42
18	44
18	45
18	49
18	56
18	73
18	85
18	94
18	95
18	125
18	126
19	7
19	10
19	25
19	41
19	45
19	48
19	49
19	63
19	73
19	74
19	82
19	83
19	98
19	107
19	121
19	126
20	58
20	62
20	64
20	66
20	76
20	85
20	86
20	87
20	91
20	96
20	97
20	101
20	103
20	114
20	118
20	122
21	5
21	9
21	15
21	22
21	23
21	33
21	52
21	54
21	57
21	67
21	90
21	99
21	105
21	110
21	112
21	125
22	6
22	9
22	15
22	16
22	21
22	23
22	24
22	31
22	43
22	47
22	100
22	102
22	105
22	109
22	126
22	128
23	9
23	16
23	21
23	22
23	33
23	43
23	44
23	50
23	51
23	55
23	70
23	79
23	90
23	100
23	104
23	112
24	5
24	6
24	9
24	15
24	16
24	22
24	37
24	43
24	52
24	81
24	99
24	100
24	102
24	103
24	110
24	128
25	7
25	10
25	12
25	19
25	36
25	41
25	42
25	49
25	59
25	69
25	85
25	88
25	93
25	121
25	125
25	126
26	1
26	12
26	18
26	39
26	53
26	58
26	62
26	66
26	72
26	76
26	78
26	92
26	95
26	116
26	118
26	124
27	3
27	13
27	29
27	40
27	46
27	60
27	61
27	68
27	72
27	75
27	77
27	83
27	89
27	115
27	117
27	123
28	10
28	36
28	42
28	48
28	56
28	63
28	73
28	74
28	78
28	88
28	98
28	107
28	111
28	121
28	125
28	126
29	3
29	4
29	17
29	27
29	30
29	37
29	39
29	46
29	75
29	77
29	83
29	108
29	115
29	120
29	123
29	127
30	13
30	14
30	29
30	38
30	40
30	50
30	54
30	60
30	73
30	75
30	77
30	84
30	96
30	108
30	115
30	120
31	5
31	9
31	11
31	16
31	22
31	33
31	35
31	39
31	43
31	47
31	67
31	90
31	99
31	102
31	107
31	110
32	2
32	3
32	4
32	14
32	38
32	39
32	40
32	50
32	60
32	69
32	83
32	89
32	96
32	115
32	123
32	127
33	6
33	11
33	15
33	21
33	23
33	31
33	35
33	43
33	51
33	79
33	83
33	90
33	99
33	102
33	112
33	128
34	7
34	10
34	18
34	40
34	41
34	44
34	49
34	63
34	71
34	84
34	85
34	94
34	98
34	106
34	107
34	126
35	8
35	9
35	11
35	16
35	31
35	33
35	43
35	47
35	51
35	57
35	67
35	70
35	79
35	90
35	112
35	128
36	7
36	13
36	18
36	25
36	28
36	37
36	41
36	42
36	44
36	63
36	71
36	73
36	88
36	98
36	106
36	107
37	18
37	24
